plot,JUDE2,PICE,PIPO,PIST3,QUEM,QUGA,QUGR2,QUGR3,QUHY,easting ,northing,long,lat,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,50,47,0,0,0,0,0,64,39,580976,3391026,-104.155,30.6492,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,34,106,0,0,0,0,0,28,31,582155,3391012,-104.143,30.649,,,,,,,,,,,,,,,,,,,,,,,,,,
D100,29,24,0,0,4,0,0,74,69,580937,3397014,-104.155,30.7032,,,,,,,,,,,,,,,,,,,,,,,,,,
D101,31,21,17,0,12,0,29,75,16,581547,3397022,-104.148,30.7032,,,,,,,,,,,,,,,,,,,,,,,,,,
D102,33,72,0,0,0,0,0,54,42,582142,3397020,-104.142,30.7032,,,,,,,,,,,,,,,,,,,,,,,,,,
D103,35,55,0,0,0,0,0,55,55,582739,3397019,-104.136,30.7031,,,,,,,,,,,,,,,,,,,,,,,,,,
D104,182,18,0,0,0,0,0,0,0,583348,3397021,-104.13,30.7031,,,,,,,,,,,,,,,,,,,,,,,,,,
D105,41,56,0,0,0,0,0,60,44,583941,3397017,-104.123,30.703,,,,,,,,,,,,,,,,,,,,,,,,,,
D106,200,0,0,0,0,0,0,0,0,584539,3397019,-104.117,30.703,,,,,,,,,,,,,,,,,,,,,,,,,,
D107,0,41,0,0,0,0,0,89,71,579135,3396420,-104.174,30.698,,,,,,,,,,,,,,,,,,,,,,,,,,
D108,60,40,0,0,0,0,0,67,33,579747,3396429,-104.167,30.698,,,,,,,,,,,,,,,,,,,,,,,,,,
D109,0,87,22,0,16,0,0,14,61,580338,3396420,-104.161,30.6979,,,,,,,,,,,,,,,,,,,,,,,,,,
D11,51,64,0,0,0,0,0,45,40,581551,3391010,-104.149,30.649,,,,,,,,,,,,,,,,,,,,,,,,,,
D110,6,86,0,0,12,0,9,44,35,579139,3395824,-104.174,30.6926,,,,,,,,,,,,,,,,,,,,,,,,,,
D111,0,0,0,0,3,0,0,98,99,579742,3395825,-104.167,30.6925,,,,,,,,,,,,,,,,,,,,,,,,,,
D112,44,61,0,0,3,0,0,57,36,580341,3395826,-104.161,30.6925,,,,,,,,,,,,,,,,,,,,,,,,,,
D113,0,0,0,0,0,0,0,100,100,579746,3395217,-104.167,30.6871,,,,,,,,,,,,,,,,,,,,,,,,,,
D114,0,0,0,0,200,0,0,0,0,579744,3394023,-104.168,30.6763,,,,,,,,,,,,,,,,,,,,,,,,,,
D115,0,59,0,0,7,0,0,69,66,580341,3394016,-104.161,30.6762,,,,,,,,,,,,,,,,,,,,,,,,,,
D116,67,117,0,0,0,0,0,13,0,580943,3394001,-104.155,30.676,,,,,,,,,,,,,,,,,,,,,,,,,,
D117,41,159,0,0,0,0,0,0,0,581543,3394015,-104.149,30.6761,,,,,,,,,,,,,,,,,,,,,,,,,,
D118,30,22,62,0,0,0,0,55,32,579743,3393422,-104.168,30.6709,,,,,,,,,,,,,,,,,,,,,,,,,,
D119,46,111,0,0,0,0,0,27,16,580341,3393416,-104.161,30.6708,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,0,60,0,0,0,0,0,71,70,580970,3391618,-104.155,30.6545,,,,,,,,,,,,,,,,,,,,,,,,,,
D120,58,61,0,0,0,0,0,49,32,577940,3392226,-104.186,30.6602,,,,,,,,,,,,,,,,,,,,,,,,,,
D121,35,145,0,0,0,0,0,10,11,578537,3392228,-104.18,30.6602,,,,,,,,,,,,,,,,,,,,,,,,,,
D122,57,0,0,0,0,0,0,67,76,577942,3391620,-104.186,30.6547,,,,,,,,,,,,,,,,,,,,,,,,,,
D123,0,99,0,0,0,0,0,56,45,578542,3391620,-104.18,30.6547,,,,,,,,,,,,,,,,,,,,,,,,,,
D124,60,37,0,0,0,0,0,50,53,577943,3391020,-104.187,30.6493,,,,,,,,,,,,,,,,,,,,,,,,,,
D125,61,51,0,0,0,0,0,47,41,578535,3391024,-104.18,30.6493,,,,,,,,,,,,,,,,,,,,,,,,,,
D126,95,95,0,0,0,0,0,3,6,579139,3391022,-104.174,30.6493,,,,,,,,,,,,,,,,,,,,,,,,,,
D127,0,59,0,0,0,0,0,54,78,577939,3390423,-104.187,30.6439,,,,,,,,,,,,,,,,,,,,,,,,,,
D128,13,9,0,0,0,0,0,90,88,578543,3390425,-104.18,30.6439,,,,,,,,,,,,,,,,,,,,,,,,,,
D129,66,97,0,0,0,0,0,25,12,579148,3390425,-104.174,30.6439,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,4,49,0,0,0,0,0,76,70,581553,3391633,-104.149,30.6546,,,,,,,,,,,,,,,,,,,,,,,,,,
D130,17,73,0,0,0,0,0,62,49,579746,3390422,-104.168,30.6438,,,,,,,,,,,,,,,,,,,,,,,,,,
D131,0,200,0,0,0,0,0,0,0,580341,3390422,-104.162,30.6438,,,,,,,,,,,,,,,,,,,,,,,,,,
D132,22,41,0,0,0,0,0,74,63,580928,3390421,-104.155,30.6437,,,,,,,,,,,,,,,,,,,,,,,,,,
D133,65,57,0,0,0,0,0,41,37,581546,3390421,-104.149,30.6437,,,,,,,,,,,,,,,,,,,,,,,,,,
D134,39,73,0,0,0,0,0,28,59,582140,3390423,-104.143,30.6436,,,,,,,,,,,,,,,,,,,,,,,,,,
D135,98,40,0,0,0,0,0,45,17,582740,3390423,-104.137,30.6436,,,,,,,,,,,,,,,,,,,,,,,,,,
D136,0,49,0,0,20,0,0,68,55,583340,3390423,-104.13,30.6436,,,,,,,,,,,,,,,,,,,,,,,,,,
D138,38,162,0,0,0,0,0,0,0,577955,3389815,-104.186,30.6384,,,,,,,,,,,,,,,,,,,,,,,,,,
D139,0,200,0,0,0,0,0,0,0,578544,3389820,-104.18,30.6384,,,,,,,,,,,,,,,,,,,,,,,,,,
D14,18,79,0,0,5,0,0,43,55,581541,3392222,-104.149,30.6599,,,,,,,,,,,,,,,,,,,,,,,,,,
D141,84,20,0,0,0,96,0,0,0,579748,3389836,-104.168,30.6385,,,,,,,,,,,,,,,,,,,,,,,,,,
D142,47,93,0,0,0,0,0,23,37,582747,3389814,-104.136,30.6381,,,,,,,,,,,,,,,,,,,,,,,,,,
D15,34,126,0,0,0,0,0,17,23,583310,3391640,-104.13,30.6545,,,,,,,,,,,,,,,,,,,,,,,,,,
D150,23,151,0,0,0,0,0,17,10,580341,3394622,-104.161,30.6817,,,,,,,,,,,,,,,,,,,,,,,,,,
D151,38,79,0,0,0,0,0,54,30,579740,3394618,-104.167,30.6817,,,,,,,,,,,,,,,,,,,,,,,,,,
D155,22,115,0,0,0,0,0,29,35,579139,3391617,-104.174,30.6546,,,,,,,,,,,,,,,,,,,,,,,,,,
D156,12,128,8,0,0,0,0,29,24,584539,3391611,-104.118,30.6542,,,,,,,,,,,,,,,,,,,,,,,,,,
D157,53,62,0,0,0,0,0,41,44,584542,3392225,-104.118,30.6597,,,,,,,,,,,,,,,,,,,,,,,,,,
D158,152,23,0,0,0,0,0,11,14,586943,3395221,-104.092,30.6866,,,,,,,,,,,,,,,,,,,,,,,,,,
D159,149,32,0,0,0,0,0,5,13,587541,3395220,-104.086,30.6865,,,,,,,,,,,,,,,,,,,,,,,,,,
D16,10,77,0,0,29,0,0,44,40,582713,3391641,-104.137,30.6546,,,,,,,,,,,,,,,,,,,,,,,,,,
D160,142,0,0,0,0,0,0,33,25,588138,3395215,-104.08,30.6865,,,,,,,,,,,,,,,,,,,,,,,,,,
D161,160,29,0,0,0,0,0,6,5,584538,3394622,-104.117,30.6814,,,,,,,,,,,,,,,,,,,,,,,,,,
D162,45,26,0,0,0,0,0,74,55,585144,3394623,-104.111,30.6813,,,,,,,,,,,,,,,,,,,,,,,,,,
D163,127,17,0,0,0,0,0,22,33,585736,3394623,-104.105,30.6813,,,,,,,,,,,,,,,,,,,,,,,,,,
D164,145,56,0,0,0,0,0,0,0,586333,3394616,-104.099,30.6812,,,,,,,,,,,,,,,,,,,,,,,,,,
D165,70,33,0,0,0,0,0,66,31,586941,3394625,-104.092,30.6812,,,,,,,,,,,,,,,,,,,,,,,,,,
D166,103,0,0,0,0,0,0,62,35,587536,3394622,-104.086,30.6811,,,,,,,,,,,,,,,,,,,,,,,,,,
D167,24,32,0,0,0,0,0,60,83,588140,3394619,-104.08,30.6811,,,,,,,,,,,,,,,,,,,,,,,,,,
D168,30,73,0,0,84,0,0,7,6,584535,3394025,-104.117,30.676,,,,,,,,,,,,,,,,,,,,,,,,,,
D169,57,70,0,0,0,0,0,38,36,585141,3394010,-104.111,30.6758,,,,,,,,,,,,,,,,,,,,,,,,,,
D17,49,73,0,0,0,0,0,39,40,582713,3392248,-104.137,30.6601,,,,,,,,,,,,,,,,,,,,,,,,,,
D170,89,49,0,0,0,0,0,26,36,585741,3394022,-104.105,30.6759,,,,,,,,,,,,,,,,,,,,,,,,,,
D171,0,37,0,0,0,0,0,88,76,586348,3394021,-104.099,30.6758,,,,,,,,,,,,,,,,,,,,,,,,,,
D172,0,81,0,0,0,0,0,56,40,586941,3394023,-104.092,30.6758,,,,,,,,,,,,,,,,,,,,,,,,,,
D173,132,68,0,0,0,0,0,0,0,587544,3394023,-104.086,30.6757,,,,,,,,,,,,,,,,,,,,,,,,,,
D174,35,0,0,0,0,0,0,80,85,588141,3394019,-104.08,30.6757,,,,,,,,,,,,,,,,,,,,,,,,,,
D175,16,0,94,0,0,0,0,29,27,584539,3393419,-104.117,30.6705,,,,,,,,,,,,,,,,,,,,,,,,,,
D176,0,25,0,0,0,0,0,91,84,585142,3393415,-104.111,30.6704,,,,,,,,,,,,,,,,,,,,,,,,,,
D177,0,25,26,0,0,0,0,76,68,585740,3393421,-104.105,30.6704,,,,,,,,,,,,,,,,,,,,,,,,,,
D178,17,28,120,0,0,0,6,29,0,586337,3393419,-104.099,30.6704,,,,,,,,,,,,,,,,,,,,,,,,,,
D179,135,65,0,0,0,0,0,0,0,586940,3393421,-104.092,30.6704,,,,,,,,,,,,,,,,,,,,,,,,,,
D18,41,36,0,0,0,13,0,68,42,580963,3392228,-104.155,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,
D180,125,45,0,0,0,0,0,17,14,587541,3393417,-104.086,30.6703,,,,,,,,,,,,,,,,,,,,,,,,,,
D181,0,133,0,0,0,0,0,40,27,588140,3393421,-104.08,30.6703,,,,,,,,,,,,,,,,,,,,,,,,,,
D182,0,111,0,0,0,0,0,35,54,585142,3392830,-104.111,30.6652,,,,,,,,,,,,,,,,,,,,,,,,,,
D183,53,55,6,0,0,0,0,37,49,585737,3392820,-104.105,30.665,,,,,,,,,,,,,,,,,,,,,,,,,,
D184,101,68,0,0,0,0,0,14,17,586326,3392815,-104.099,30.6649,,,,,,,,,,,,,,,,,,,,,,,,,,
D185,0,27,0,0,0,0,0,87,86,586949,3392820,-104.092,30.6649,,,,,,,,,,,,,,,,,,,,,,,,,,
D186,0,30,0,0,0,0,0,78,92,587540,3392810,-104.086,30.6648,,,,,,,,,,,,,,,,,,,,,,,,,,
D187,0,23,70,70,0,28,6,0,0,588140,3392819,-104.08,30.6648,,,,,,,,,,,,,,,,,,,,,,,,,,
D188,73,54,21,0,0,0,0,22,31,585141,3392223,-104.111,30.6597,,,,,,,,,,,,,,,,,,,,,,,,,,
D189,63,126,0,0,0,0,0,4,7,585739,3392224,-104.105,30.6596,,,,,,,,,,,,,,,,,,,,,,,,,,
D19,129,71,0,0,0,0,0,0,0,581542,3392823,-104.149,30.6653,,,,,,,,,,,,,,,,,,,,,,,,,,
D190,10,89,0,0,0,0,0,58,42,586336,3392222,-104.099,30.6596,,,,,,,,,,,,,,,,,,,,,,,,,,
D191,0,200,0,0,0,0,0,0,0,586947,3392220,-104.092,30.6595,,,,,,,,,,,,,,,,,,,,,,,,,,
D192,0,77,0,0,0,0,0,59,64,587538,3392226,-104.086,30.6595,,,,,,,,,,,,,,,,,,,,,,,,,,
D193,12,88,16,0,0,0,0,50,34,585140,3391624,-104.111,30.6543,,,,,,,,,,,,,,,,,,,,,,,,,,
D194,0,0,0,0,0,0,0,3,93,585745,3391615,-104.105,30.6541,,,,,,,,,,,,,,,,,,,,,,,,,,
D195,52,97,0,0,0,0,0,25,26,577940,3389215,-104.187,30.633,,,,,,,,,,,,,,,,,,,,,,,,,,
D196,0,41,0,0,0,0,0,67,93,578543,3389215,-104.18,30.633,,,,,,,,,,,,,,,,,,,,,,,,,,
D197,200,0,0,0,0,0,0,0,0,579144,3389218,-104.174,30.633,,,,,,,,,,,,,,,,,,,,,,,,,,
D198,49,9,0,0,0,0,0,82,61,579700,3389215,-104.168,30.6329,,,,,,,,,,,,,,,,,,,,,,,,,,
D199,53,74,0,0,31,0,0,21,21,577935,3388623,-104.187,30.6277,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,107,33,26,0,27,0,0,2,4,583956,3393440,-104.124,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,89,7,0,0,0,0,0,75,30,582150,3393419,-104.142,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D200,44,3,11,0,0,0,0,67,65,578545,3388631,-104.18,30.6277,,,,,,,,,,,,,,,,,,,,,,,,,,
D201,0,0,0,0,0,200,0,0,0,579137,3388625,-104.174,30.6276,,,,,,,,,,,,,,,,,,,,,,,,,,
D205,28,39,13,0,0,0,0,46,58,576738,3390424,-104.199,30.644,,,,,,,,,,,,,,,,,,,,,,,,,,
D206,46,16,11,20,7,0,0,28,71,577336,3390424,-104.193,30.644,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,156,5,0,0,0,0,0,10,29,583925,3392266,-104.124,30.6601,,,,,,,,,,,,,,,,,,,,,,,,,,
D217,72,55,0,0,0,0,0,29,44,585739,3396419,-104.105,30.6975,,,,,,,,,,,,,,,,,,,,,,,,,,
D218,66,0,0,0,0,0,0,60,74,586942,3396421,-104.092,30.6974,,,,,,,,,,,,,,,,,,,,,,,,,,
D219,35,73,0,0,0,0,0,55,36,588143,3396417,-104.08,30.6973,,,,,,,,,,,,,,,,,,,,,,,,,,
D22,0,155,0,0,46,0,0,0,0,583323,3392247,-104.13,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,
D220,97,29,0,0,0,0,0,22,52,585140,3397020,-104.111,30.703,,,,,,,,,,,,,,,,,,,,,,,,,,
D221,116,48,0,0,0,0,0,10,26,585715,3397018,-104.105,30.7029,,,,,,,,,,,,,,,,,,,,,,,,,,
D222,11,154,0,0,0,0,0,17,18,586335,3397019,-104.098,30.7029,,,,,,,,,,,,,,,,,,,,,,,,,,
D223,46,39,0,0,0,0,0,47,67,586946,3397014,-104.092,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D224,128,72,0,0,0,0,0,0,0,587544,3397018,-104.086,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D226,124,76,0,0,0,0,0,0,0,585143,3397624,-104.111,30.7084,,,,,,,,,,,,,,,,,,,,,,,,,,
D227,112,34,0,0,0,0,0,23,31,585712,3397622,-104.105,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D228,100,48,0,0,0,0,0,29,23,586339,3397623,-104.098,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
