sampleNo,file.name,DisplayDelta1.13C,DisplayDelta2.18O,SMOWConverted.18O,R_1EC.C,DisplayDelta1.N15,R_1EC.N15
11,lb2.raw,-26.0285994324,0.0503725193,30.9119270152,30.4337689563,5.6,8.3772581757
12,schwilk1 a01.raw,-24.1325130258,-0.7984368261,30.0369234134,49.5090611897,1.3290068786,2.6465914141
13,schwilk1 a02.raw,-24.6502628603,-1.9276829118,28.8728287936,49.8606738391,0.1028723885,1.6851467539
14,schwilk1 a03.raw,-27.6506931581,-1.8005654561,29.0038690939,50.2973833704,2.8438487115,2.5649447692
15,schwilk1 a04.raw,-24.3112115557,-1.5734988766,29.2379429481,52.857086192,1.9167687195,1.1285416739
16,schwilk1 a05.raw,-27.4839940013,-1.849849157,28.953064498,49.2415183144,1.584165186,2.2820983516
17,schwilk1 a06.raw,-26.4591128079,-2.7629591506,28.01177593,50.3072722659,1.4650792791,0.9981258397
18,schwilk1 a07.raw,-25.1140691169,-2.2439409129,28.5468110705,52.2367797518,1.5848646419,2.0038862455
19,schwilk1 a08.raw,-23.1319014298,-2.8508065849,27.9212175239,49.5663392548,3.3097021582,1.4224746874
20,schwilk1 a09.raw,-24.90746741,-2.4722584687,28.3114476349,50.200995049,0.9213672849,2.0382029277
21,schwilk1 a10.raw,-22.941044103,-1.9511875717,28.8485987798,51.642176105,0.4701938198,1.3198869001
22,schwilk1 a11.raw,-27.4655339362,-2.3504005605,28.4370660782,49.4833817924,4.3363851563,2.2949936828
23,schwilk1 a12.raw,-27.472027022,-2.2599667974,28.5302906272,49.0900007351,4.6095035534,2.5441810629
24,lb3.raw,-26.0102279102,-0.1130525157,30.7434586837,31.1793053056,5.6,8.3641660186
25,schwilk1 b01.raw,-26.9129155239,-1.8048153097,28.9994880898,49.4508012787,2.7168754338,2.338319259
26,schwilk1 b02.raw,-25.9546541436,-0.3719296376,30.4765926138,51.3321317109,1.9052642236,1.1220773209
27,schwilk1 b03.raw,-22.2846761819,-0.7725105069,30.0636498189,53.2141049404,3.6145090903,1.2242232744
28,schwilk1 b04.raw,-26.5057610128,-0.7771134924,30.0589047852,53.4981665726,1.686737191,0.9744862317
29,schwilk1 b05.raw,-23.355621607,-0.6197057124,30.2211701693,55.9965044434,2.7505364954,1.284128018
30,schwilk1 b06.raw,-25.3297791346,-1.1969488226,29.6261133368,51.5584598151,2.0876073438,1.0155324607
31,schwilk1 b07.raw,-22.5179446939,-2.1211014959,28.673441312,54.9183420515,1.6834476752,1.1628208447
32,schwilk1 b08.raw,-24.1146147436,-1.7869841799,29.0178694883,51.5049032753,2.1086001879,1.0788245476
33,schwilk1 b09.raw,-24.4758494686,-2.0501920057,28.746539069,54.3951948181,3.503881283,1.5536537542
34,schwilk1 b10.raw,-24.8067379499,-2.3408025935,28.4469602384,50.0605321851,0.6591236425,2.0945537193
35,schwilk1 b11.raw,-25.9444843136,-2.153086674,28.6404690713,56.7861489802,5.0938180107,1.0185596603
36,schwilk1 b12.raw,-26.3353579118,-1.6155986798,29.194543945,54.1084452716,0.9119878198,1.0925105438
37,lb4.raw,-25.9831950969,0.1318662696,30.9959356627,31.6587382258,5.6,8.2925592021
38,schwilk1 c01.raw,-25.0640052055,-2.2555865081,28.5348060922,52.8923087095,1.738150325,1.1599937941
39,schwilk1 c02.raw,-25.5679847511,-2.4851948006,28.2981120878,73.5763833763,1.9337358105,3.4605079968
40,schwilk1 c03.raw,-22.5715977579,-1.4958225373,29.3180163792,40.5243712869,2.9610911333,1.232412326
41,schwilk1 c04.raw,-26.081443466,-2.8180746218,27.9549595953,52.1368194758,2.771291163,1.7786217074
42,schwilk1 c05.raw,-28.5329965639,-2.9162044022,27.8538015299,51.3396716903,1.583173837,2.6927485152
43,schwilk1 c06.raw,-23.8145892428,-3.0654505065,27.6999496909,52.6781107301,4.6666655347,2.0342995497
44,schwilk1 c07.raw,-24.5447654552,-2.3656860595,28.4213088687,52.7863369343,1.1930114121,1.8282779117
45,schwilk1 c08.raw,-24.4257730179,-2.334543537,28.4534124495,56.4784516858,2.1211935035,1.440022627
46,schwilk1 c09.raw,-25.0244630565,-2.05265586,28.7439991801,54.0868084658,2.0788982179,0.9105824564
47,schwilk1 c10.raw,-24.1948471535,-1.6954480091,29.1122304653,53.8876278493,1.5807679909,1.8942384124
48,schwilk1 c11.raw,-24.5735845982,-2.7430511818,28.0322982587,52.5827623308,1.4678997553,1.2845338708
49,schwilk1 c12.raw,-25.2425035906,-3.4293313525,27.324839482,53.7081257494,1.775011994,1.4872029231
50,lb5.raw,-25.9992532177,-0.0526468119,30.8057285075,32.2205342146,5.6,8.6558019898
2,lb1.raw,-26.9519015241,0.3989752699,31.2712876467,31.3588294828,5.6,8.5814284456
3,schwilk1 d01.raw,-23.3280716345,-1.8502067921,28.9526958263,54.4442451192,1.5769495458,1.2792636427
4,schwilk1 d02.raw,-25.7501552181,-2.9195585235,27.8503439005,53.0960142301,1.2473026017,2.1174047983
5,schwilk1 d03.raw,-27.057537217,-2.1104451599,28.6844265025,53.6442292306,0.7348044797,1.2914678093
6,schwilk1 d04.raw,-26.3958877978,-3.0616255643,27.7038926708,55.3727783735,0.8805360032,1.4742698754
7,schwilk1 d05.raw,-25.969684194,-2.8866603648,27.8842572963,54.2043786239,1.6242618767,1.7425120376
8,schwilk1 d06.raw,-24.2890413616,-2.6780734452,28.0992812083,54.0660253335,1.0251451848,2.7768305726
9,schwilk1 d07.raw,-25.9453230744,-1.6318934548,29.1777463132,56.5712017755,2.59248166,1.6404309867
10,schwilk1 d08.raw,-23.5636137612,-2.2710258353,28.5188903075,55.790525222,0.0307951213,1.2860223153
11,schwilk1 d09.raw,-23.0368282796,-2.6515586814,28.1266142177,52.8899514061,3.0037868583,1.3834259838
12,schwilk1 d10.raw,-27.068053633,-2.8754073274,27.8958576024,54.6528174373,1.6300795723,2.4491530808
13,schwilk1 d11.raw,-25.5630862748,-3.3964776374,27.3587070627,56.2508806371,2.0095436743,1.5588845526
14,schwilk1 d12.raw,-26.8144775386,-2.4560821024,28.3281232039,56.8887793445,0.047435071,2.2135255671
15,lb2.raw,-25.9677576643,0.0423840945,30.9036920677,30.6472889127,5.6,8.2992772216
16,schwilk1 e01.raw,-25.3046160014,-2.676069551,28.1013469426,59.2390470518,-1.3127793004,1.2032493204
17,schwilk1 e02.raw,-21.953065443,-2.5248711026,28.2572113752,56.220138936,0.9960554697,1.6627287144
18,schwilk1 e03.raw,-27.7692537478,-2.0433202763,28.75362286,57.5341044071,-0.33231181,2.0116229765
19,schwilk1 e04.raw,-23.027435999,-2.2586443711,28.5316538636,56.0442852142,3.1811112779,1.5252114129
20,schwilk1 e05.raw,-24.405077722,-3.3495633434,27.4070691318,54.3409621266,1.084291082,1.0908210477
21,schwilk1 e06.raw,-25.9584055901,-4.0458796238,26.689264531,55.0306822781,1.5999589955,1.7072414862
22,schwilk1 e07.raw,-26.9147606461,-3.7309314629,27.0139319922,54.1297396322,-0.1099394007,0.8782593482
23,schwilk1 e08.raw,-25.1714902005,-4.4910628484,26.2303429521,53.2739540152,-1.0497231131,2.3434391376
24,schwilk1 e09.raw,-21.8143889456,-3.1940652407,27.567365906,56.4261658103,-0.2660743518,1.5664721212
25,schwilk1 e10.raw,-28.5682431924,-3.893944187,26.8458886954,52.9639907832,2.4131493699,2.7068332746
26,schwilk1 e11.raw,-21.2959216233,-4.6309740493,26.0861140915,53.7091039039,1.5638873553,1.3385585631
27,schwilk1 e12.raw,-26.5451117774,-3.4813992469,27.2711647723,54.5639573935,1.6280538714,1.8808927377
28,lb3.raw,-25.9599597287,-0.0416999683,30.8170131707,31.9226586525,5.6,8.476411502
