"","date","species","tag","weight","A595.1","A595.2","A595.3","vol.supernatent","pair.area","pair.wet.mass","pair.dry.date","pair.dry.mass","notes","A595.total","ug.ml","ug.cm2"
"9","2/3/2015","QUGA","916",0.0248,0.0028,-0.005,-0.0011,0.51,3,NA,"",NA,"Bad run. Toss",-0.0011,-23.5294117647059,-7.84313725490196
"43","3/27/2015","QUGR2","1213",0.031,0.0363,0.0044,0.0157,0.642,3,0.0267,"3/30/2015",0.013,"",0.0188,84.6313603322949,28.2104534440983
"45","3/27/2015","QUGR3","P4282",0.0381,0.0155,0.0246,0.0268,0.644,3,0.0294,"3/30/2015",0.0161,"",0.0223,102.484472049689,34.1614906832298
"46","3/27/2015","QUGR3","1224",0.0326,0.0268,0.0244,0.0266,0.644,3,0.0278,"3/30/2015",0.0142,"",0.0259333333333333,121.290545203589,40.4301817345296
"47","3/30/2015","QUGR2","227",0.031,0.013,0.0139,0.0475,0.584,3,0.0313,"4/2/2015",0.0144,"",0.0248,127.283105022831,42.427701674277
"49","4/8/2015","QUEM","224",0.0334,1e-04,0.034,0.0172,0.582,3,0.0318,"4/10/2015",0.0162,"",0.0171,83.6197021764032,27.8732340588011
"52","4/8/2015","QUGR2","543",0.0292,0.0099,0.0047,0.0021,0.664,3,0.0301,"4/10/2015",0.0131,"",0.00556666666666667,15.3949129852744,5.13163766175814
"56","4/8/2015","QUGR3","1215",0.0377,2e-04,0.0284,0.0397,0.614,3,0.0392,"4/10/2015",0.0203,"",0.0227666666666667,110.025334781035,36.6751115936784
"57","4/8/2015","QUGA","1210",0.0252,0.0094,0.0181,0.0126,0.668,3,0.0233,"4/10/2015",0.0136,"",0.0133666666666667,54.2248835662009,18.0749611887336
"61","4/8/2015","QUGR2","161",0.0287,0.005,0.0182,0.0025,0.704,3,0.0274,"4/10/2015",0.0132,"",0.00856666666666667,28.7247474747475,9.57491582491583
"67","4/10/2015","QUGA","P4251",0.0266,0.0303,0.017,0.005,0.522,3,0.0272,"4/15/2015",0.0145,"",0.0174333333333333,95.3597275436356,31.7865758478785
"69","4/13/2015","QUGR2","1150",0.0245,0.0037,0.0083,0.0022,0.686,3,0.0233,"4/15/2015",0.0133,"",0.00473333333333333,10.8519598315517,3.61731994385056
"73","4/13/2015","QUGR2","P1154",0.0254,0.0247,0.0291,0.0216,0.682,3,0.0259,"4/15/2015",0.0147,"",0.0251333333333333,110.622352557836,36.8741175192788
"75","4/13/2015","QUGR2","P1155",0.0248,0.0242,0.0376,0.015,0.688,3,0.0248,"4/15/2015",0.0132,"",0.0256,111.918604651163,37.3062015503876
"100","4/22/2015","QUGA","1050",0.0236,0.02,0.0183,0.0362,0.584,3,0.0237,"4/29/2015",0.0111,"",0.0248333333333333,127.473363774734,42.4911212582446
"102","4/22/2015","QUGA","1038",0.0257,0.0179,0.0103,0.0179,0.586,3,0.027,"4/29/2015",0.014,"",0.0153666666666667,73.1892301858172,24.3964100619391
"103","4/22/2015","QUGA","1051",0.023,0.0221,8e-04,0.0109,0.588,3,0.024,"4/29/2015",0.0106,"",0.0112666666666667,49.697656840514,16.5658856135047
