plot #,UTM E,UTM N,QUGA
151,512113,3534790,101.8828537
60,513939,3534678,99.70736098
13,515800,3532800,96.21018852
154,512712,3534465,96.18420707
156,512383,3534267,93.65989963
153,512701,3534745,90.37237499
78,512434,3533212,86.16289705
48,515305,3531076,83.31850696
150,512380,3235121,82.03004807
3,514912,3532137,80.60913332
149,512418,3534963,79.66708553
94,511999,3532390,78.25828409
85,513152,3533210,75.94951811
34,515030,3531690,75.92697028
39,514112,3532440,71.39816971
47,515565,3531610,70.84557364
141,511544,3533615,68.74219336
147,511546,3534817,67.98743224
49,514442,3535229,67.36681339
61,514178,3532783,65.47699024
106,518158,3537905,64.83091363
8,516061,3530785,63.72349849
51,514377,3535095,63.68895728
11,516013,3532250,63.48473852
45,513693,3531980,60.46287651
113,516578,3538024,57.06506188
98,513498,3532334,56.68105719
152,512930,3534820,56.06995532
35,514962,3531849,55.86039925
2,515001,3532462,54.73025177
104,518249,3537544,53.18487808
111,516893,3538171,50.66441836
